hr_name|hr_bookID
Louisa May Alcott/Elaine Showalter|1946
Louisa May Alcott|1947
Charles Dickens/Keith Cox/Cynthia Brantley Johnson|1955
Charles Dickens/Gillen D'Arcy Wood|1957
SparkNotes|1958
Charles Dickens/Gillen D'Arcy Wood|1959
Charles Dickens/Simon Schama|1960
James B. Stewart|1972
Julia Golding|1976
Charles Dickens|1982
Charles Dickens/Mary Gaitskill/Hablot Knight Browne|1984
Charles Dickens/Gish Jen|1985
Daniel Pool|1987
Jane Smiley|1988
Charles Dickens/Patricia Ingham/Hablot Knight Browne|1990
Jared Diamond|1991
Jared Diamond|1993
Colleen Sexton|1999
J.K. Rowling|2002
Philip Nel|2004
J.K. Rowling|2005
Frank Herbert|2010
Frank Herbert|2011
Frank Herbert|2015
Sean O'Brien|2019
Aristophanes/B.B. Rogers|2022
Aristophanes/Jeffrey Henderson|2025
Radcliffe G. Edmonds III|2026
Aristophanes/Robert Mayhew|2028
Aristophanes/F.W. Hall/W.M. Geldart|2034
Paul Anthony Cartledge|2043
Raymond Chandler/Frank MacShane|2045
Raymond Chandler/Frank MacShane|2046
Raymond Chandler/Tom Hiney|2048
Raymond Chandler|2049
Raymond Chandler|2051
Raymond Chandler|2052
Raymond Chandler|2054
Paul Murray|2056
Patti   Davis|2057
Masaki Yamada/Yuji Oniki/Carl Gustav Horn|2058
Raymond Chandler|2059
Daniel C. Dennett|2067
Daniel C. Dennett|2068
Daniel C. Dennett|2071
Daniel C. Dennett|2072
Daniel C. Dennett|2074
Nicholas Humphrey/Daniel C. Dennett|2077
Daniel C. Dennett|2078
Douglas R. Hofstadter/Daniel C. Dennett|2081
Stephen Hawking|2093
Stephen Hawking/Leonard Mlodinow|2094
Stephen Hawking|2095
Stephen Hawking|2096
David Filkin/Stephen Hawking|2099
Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price|2100
John Boslough|2102
Stephen Hawking/Roger Penrose|2103
Lawrence M. Krauss/Stephen Hawking|2104
Phillip Glasier|2107
Timothy Ferris|2109
Ayn Rand/Robert Mayhew/Peter   Schwartz|2112
Ayn Rand/Leonard Peikoff/David Harriman|2113
Ayn Rand/Leonard Peikoff|2122
Nancy L. Mace/Peter V. Rabins|2123
Jorge Cruise|2126
Thom Hartmann/Joseph Chilton Pearce/Neale Donald Walsch|2127
Michael Cunningham|2136
Michael Cunningham|2137
Malcolm Gladwell|2140
Ted Dekker|2142
Mark Hoppus/Anne Hoppus/Alex Gaskarth|2144
Jane Austen/Hugh  Thomson|2151
Karen Joy Fowler|2152
Jane Austen|2153
Jane Austen/Deirdre Le Faye|2155
Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch|2156
Kim Wilson/Tom Carpenter|2157
Ernest Hemingway/Donald Sutherland|2166
Jeanne Sallade Criswell/Gary Carey|2167
Julian Barnes|2176
Gustave Flaubert/Francis Steegmuller|2178
Gustave Flaubert/Douglas Parmée|2179
Gustave Flaubert/Roger Whitehouse/Geoffrey Wall|2182
Gustave Flaubert/Robert Baldick/Geoffrey Wall|2183
Jean-Paul Sartre/Carol Cosman|2186
Jeffrey Eugenides|2187
Doris Kearns Goodwin|2199
David McCullough|2203
Thomas May/John   Adams|2204
Abigail Adams/Frank Shuffelton|2205
Joseph J. Ellis|2209
John  Adams/John Patrick Diggins|2211
Ruth Westheimer|2218
Jennifer Watson|2219
David D. Burns|2222
Elisabeth Kübler-Ross|2226
Elisabeth Kübler-Ross|2227
Lynne Ann DeSpelder/Albert Lee Strickland|2228
Mark Shepard|2236
Stephen R. Covey|2249
Stephen R. Covey|2250
Stephen R. Covey|2253
Dan Millman|2255
Dan Millman/Robert D. San Souci/T. Taylor Bruce|2257
Lance Armstrong/Sally Jenkins|2265
