a_authors|a_authrating
Augustine of Hippo/D.W. Robertson Jr.|4.03
Augustine of Hippo/Emilie Griffin/Mary T. Clark/Francine du Plessix Gray|4.29
Augustine of Hippo/Henry Bettenson|3.92
Augustine of Hippo/J.M. Lelen|3.92
Augustine of Hippo/John E. Rotelle/Maria Boulding|3.92
Augustine of Hippo/Peter R.L. Brown/Frank Sheed|3.92
Augustine of Hippo/Thomas Merton/Marcus Dods|3.92
Augustine of Hippo/Vernon J. Bourke|3.69
Aurelio Voltaire|4.1
Avi|3.81333333333333
Avi/Brian Floca|3.99
Avigdor Kahalani|4.2
Ayn Rand|3.69714285714286
Ayn Rand/Leonard Peikoff|3.79
Ayn Rand/Leonard Peikoff/David Harriman|3.94
Ayn Rand/Michael S. Berliner/Leonard Peikoff|3.96
Ayn Rand/Nathaniel Branden|3.51
Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen|3.88
Ayn Rand/Robert Mayhew/Peter   Schwartz|3.96
Azar Nafisi|3.61
B.K. Beckwith/Howard Brodie/Grantland Rice|4.47
Babette Rothschild|4.27
Babette Smith|3.58
Barack Obama|3.815
Barbara  Newman/Gill Tomblin/Darcey Bussell|4.18
Barbara Ann Brennan/Jos. A. Smith|4.27
Barbara Berst Adams|3.76
Barbara Bottner|3.82
Barbara Bretton/Emilie Rose/Isabel Sharpe|3.57
Barbara Cleverly|3.84
Barbara Coloroso|4.19
Barbara Conklin|3.79
Barbara Ehrenreich|3.67333333333333
Barbara Ehrenreich/Deirdre English|3.97
Barbara Fairchild|4.07
Barbara Hambly|3.93
Barbara Haworth-Attard|3.91
Barbara Kerley/Brian Selznick|4.05
Barbara Kingsolver|4.02666666666667
Barbara Kingsolver/Steven L. Hopp/Camille Kingsolver/Richard A. Houser|4.04
Barbara Leonie Picard/Rosamund Fowler|4.05
Barbara M. Walker/Garth Williams|4.15
Barbara Nadel|3.6125
Barbara Park/Denise Brunkus|4.015
Barbara Park/Kenneth Lafreniere|3.97
Barbara Richard|3.76
Barbara Taylor Bradford|3.905
Barbara W. Tuchman|4.08
Barbara W. Tuchman/Robert K. Massie|4.17
Bard E. O'Neill|3.91
Bard Thompson|3.96
Barrie Trinkle/Paige Kimble/Carolyn  Andrews|4.17
Barrington Moore Jr./James C. Scott/Edward Friedman|3.98
Barron's|3.72
Barry  Lopez|4.1325
Barry Chubin|2.62
Barry Eisler|4.27
Barry Glassner|3.7
Barry Hughart|4.29
Barry R. Cournoyer|3.4
Barry Schwartz|3.85
Bart D. Ehrman|3.64
Bart G. Farkas|3.81
Bart King/Chris Sabatino|4.23
Barthe DeClements|3.775
Bartholomew Gill|3.74
Barton Zwiebach|4.16
Basil Mahon|4.13
Basil Pao/Michael Palin|4.0
Beatrix Potter|4.27
Bebe Moore Campbell|3.81
Belva Plain|3.91
Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell|4.14
Ben Bova|3.72
Ben Carson/Cecil Murphey|4.21
Ben Counter|3.77
Ben Elton|3.735
Ben Katchor|4.35
Ben M. Baglio/Linda Chapman/Jenny Gregory|3.96
Ben Mezrich|3.89
Ben Mikaelsen|3.79
Ben R. Kaplan|3.45
Ben Schoen/Andy Gordon/Gretchen Stull/Emerson Spartz/Jamie Lawrence|4.23
Ben Schott/Collin Deckerman|4.08
Benjamin James Sadock/Virginia Alcott Sadock|4.22
Bentley Little|3.62
Bernard Cornwell|4.075
Bernard Cornwell/Jamie Glover|4.25
Bernard Cornwell/Tom Sellwood|4.25
Bernard Lewis|3.49
Bernard Malamud/Aleksandar Hemon|3.65
Bernard Malamud/Jhumpa Lahiri|3.99
Bernard Malamud/Jonathan Rosen|3.89
Bernard Malamud/Jonathan Safran Foer|3.96
Bernard Malamud/Kevin Baker|3.63
Bernard Malamud/Robert Giroux|4.22
Bernard Taper|4.31
Bernard Williams|4.04
Bernd Matzkowski|3.6
Bernice Kert|4.17
Beryl Markham/Mary S. Lovell|3.72
Bessie Head|3.84
Beth A. Jones|4.67
Beth Hensperger/Julie Kaufmann|3.78
Beth Moore|4.09
Bethany Roberts/Doug Cushman|3.24
Bette Greene|3.68
Better Homes and Gardens|0.0
Betty  Smith|4.26
Betty Friedan/Anna Quindlen|3.86
Betty Jay|3.56
Betty MacDonald/Alexandra Boiger|4.18666666666667
Betty MacDonald/Hilary Knight|4.46
Betty Mahmoody|4.1
Betty Neels|3.97
Beverly Daniel Tatum|4.21
Bill   Phillips|3.5
Bill  Bryson/Kathryn Lamb|3.38
Bill Brittain/Andrew Glass|3.83
Bill Bryson|3.9342857142857
Bill Bryson/David B. Ellis|3.83
Bill Bryson/José Manuel Álvarez|4.21
Bill Buford/Clive Sinclair/Graham Swift/Martin Amis/Rose Tremain/A.N. Wilson/Pat Barker/Julian Barnes/Ursula Bentley/William Boyd/Buchi Emecheta/Alan Judd/Maggie Gee/Kazuo Ishiguro/Adam Mars-Jones/Ian McEwan/Shiva Naipaul/Philip Norman/Christopher Priest/Salman Rushdie/Lisa St. Aubin de Terán|3.94
Bill Clinton|3.775
Bill Cosby/Varnette P. Honeywood|3.34
Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood|3.54
Bill Cosby/Varnette P. Honeywood/Varnette Honeywood|3.49
Bill Farrel/Pam Farrel|3.88
Bill Hurter|3.62
Bill Hybels/Keri Wyatt Kent|3.5
Bill Hybels/Lavonne Neff|4.16
Bill Hybels/Mark Mittelberg|3.92
Bill Maher|3.44333333333333
Bill Nichols|3.79
Bill Phillips|3.95
Bill Phillips/Michael D'Orso|3.74
Bill Pittman/Todd W. Hall/Sara S./Todd W.|4.44
Bill Potter/Stephen Lang|4.1
Bill Richardson|3.77
Bill Watterson|4.70857142857143
Bill Willingham/Bryan Talbot/Lan Medina/Mark Buckingham/Linda Medley/Steve Leialoha/James Jean|4.13
Bill Willingham/David Hahn/Mark Buckingham/Lan Medina/Steve Leialoha|4.28
Bill Willingham/Esao Andrews/John Bolton/Mark Buckingham/James Jean/Derek Kirk Kim/Tara  McPherson/Jill Thompson/Mark Wheatley/Michael Wm. Kaluta/Charles Vess/Brian Bolland|4.14
Bill Willingham/Mark Buckingham/Craig Hamilton/Steve Leialoha/P. Craig Russell|4.29
Bill Willingham/Mark Buckingham/Steve Leialoha/Jim Fern/Jimmy Palmiotti/Andrew Pepoy|4.09
Bill Willingham/Mark Buckingham/Steve Leialoha/Shawn McManus/Andrew Pepoy|4.27
Bill Willingham/Mark Buckingham/Steve Leialoha/Tony Akins/Jimmy Palmiotti|4.19
Bill Willingham/Matthew Sturges/Tony Akins/Andrew Pepoy|3.58
Bill Willingham/Terry Moore/Mike Allred/Lan Medina/Mark Buckingham/Matthew Sturges/Steve Leialoha/Craig Hamilton/Russ Braun/James Jean/Tony Akins/Eric Shanower/Shawn McManus/Jae Lee/Chrissie Zullo/David Petersen|3.97
Billie Letts|4.02
Billy Collins|4.2
Billy Crystal/Dick Schaap|3.79
Billy Crystal/Elizabeth Sayles|4.19
Billy Mills/Nicholas Sparks|3.57
Binjamin W. Segel/Richard S. Levy/Sergei Nilus|3.3
